[2025-05-19 20:58:54] INFO - Batch 17: H‐loss=0.0218
[2025-05-19 20:58:54] INFO - Batch 18: H‐loss=0.0139
[2025-05-19 20:58:54] INFO - Avg H‐loss: 0.0259
[2025-05-19 20:58:54] INFO - Epoch 6/inf
[2025-05-19 20:58:56] INFO - Batch 0: H‐loss=0.0144
[2025-05-19 20:58:57] INFO - Batch 1: H‐loss=0.0264
[2025-05-19 20:58:58] INFO - Batch 2: H‐loss=0.0427
[2025-05-19 20:58:58] INFO - Batch 3: H‐loss=0.0180
[2025-05-19 20:58:59] INFO - Batch 4: H‐loss=0.0322
[2025-05-19 20:59:00] INFO - Batch 5: H‐loss=0.0184
[2025-05-19 20:59:00] INFO - Batch 6: H‐loss=0.0191
[2025-05-19 20:59:01] INFO - Batch 7: H‐loss=0.0149
[2025-05-19 20:59:02] INFO - Batch 8: H‐loss=0.0255
[2025-05-19 20:59:02] INFO - Batch 9: H‐loss=0.0223
[2025-05-19 20:59:03] INFO - Batch 10: H‐loss=0.0201
[2025-05-19 20:59:04] INFO - Batch 11: H‐loss=0.0304
[2025-05-19 20:59:04] INFO - Batch 12: H‐loss=0.0348
[2025-05-19 20:59:05] INFO - Batch 13: H‐loss=0.0221
[2025-05-19 20:59:06] INFO - Batch 14: H‐loss=0.0171
[2025-05-19 20:59:06] INFO - Batch 15: H‐loss=0.0181
[2025-05-19 20:59:07] INFO - Batch 16: H‐loss=0.0142
[2025-05-19 20:59:08] INFO - Batch 17: H‐loss=0.0199
[2025-05-19 20:59:08] INFO - Batch 18: H‐loss=0.0248
[2025-05-19 20:59:08] INFO - Avg H‐loss: 0.0229
[2025-05-19 20:59:08] INFO - Epoch 7/inf
[2025-05-19 20:59:09] INFO - Batch 0: H‐loss=0.0353
[2025-05-19 20:59:10] INFO - Batch 1: H‐loss=0.0176
[2025-05-19 20:59:11] INFO - Batch 2: H‐loss=0.0282
[2025-05-19 20:59:12] INFO - Batch 3: H‐loss=0.0482
[2025-05-19 20:59:12] INFO - Batch 4: H‐loss=0.0173
[2025-05-19 20:59:13] INFO - Batch 5: H‐loss=0.0189
[2025-05-19 20:59:14] INFO - Batch 6: H‐loss=0.0479
[2025-05-19 20:59:14] INFO - Batch 7: H‐loss=0.0176
[2025-05-19 20:59:15] INFO - Batch 8: H‐loss=0.0177
[2025-05-19 20:59:16] INFO - Batch 9: H‐loss=0.0386
[2025-05-19 20:59:16] INFO - Batch 10: H‐loss=0.0182
[2025-05-19 20:59:17] INFO - Batch 11: H‐loss=0.0143
[2025-05-19 20:59:18] INFO - Batch 12: H‐loss=0.0194
[2025-05-19 20:59:18] INFO - Batch 13: H‐loss=0.0161
[2025-05-19 20:59:19] INFO - Batch 14: H‐loss=0.0254
[2025-05-19 20:59:20] INFO - Batch 15: H‐loss=0.0190
[2025-05-19 20:59:20] INFO - Batch 16: H‐loss=0.0180
[2025-05-19 20:59:21] INFO - Batch 17: H‐loss=0.0142
[2025-05-19 20:59:21] INFO - Batch 18: H‐loss=0.0206
[2025-05-19 20:59:21] INFO - Avg H‐loss: 0.0238
[2025-05-19 20:59:21] INFO - Epoch 8/inf
[2025-05-19 20:59:23] INFO - Batch 0: H‐loss=0.0155
[2025-05-19 20:59:24] INFO - Batch 1: H‐loss=0.0194
[2025-05-19 20:59:24] INFO - Batch 2: H‐loss=0.0153
[2025-05-19 20:59:25] INFO - Batch 3: H‐loss=0.0353
[2025-05-19 20:59:26] INFO - Batch 4: H‐loss=0.0317
[2025-05-19 20:59:26] INFO - Batch 5: H‐loss=0.0249
[2025-05-19 20:59:27] INFO - Batch 6: H‐loss=0.0209
[2025-05-19 20:59:28] INFO - Batch 7: H‐loss=0.0199
[2025-05-19 20:59:28] INFO - Batch 8: H‐loss=0.0185
[2025-05-19 20:59:29] INFO - Batch 9: H‐loss=0.0279
[2025-05-19 20:59:30] INFO - Batch 10: H‐loss=0.0242
[2025-05-19 20:59:31] INFO - Batch 11: H‐loss=0.0203
[2025-05-19 20:59:31] INFO - Batch 12: H‐loss=0.0289
[2025-05-19 20:59:32] INFO - Batch 13: H‐loss=0.0320
[2025-05-19 20:59:33] INFO - Batch 14: H‐loss=0.0206
[2025-05-19 20:59:33] INFO - Batch 15: H‐loss=0.0328
[2025-05-19 20:59:34] INFO - Batch 16: H‐loss=0.0163
[2025-05-19 20:59:35] INFO - Batch 17: H‐loss=0.0219
[2025-05-19 20:59:35] INFO - Batch 18: H‐loss=0.0076
[2025-05-19 20:59:36] INFO - Avg H‐loss: 0.0228
[2025-05-19 20:59:36] INFO - Epoch 9/inf
[2025-05-19 20:59:37] INFO - Batch 0: H‐loss=0.0112
[2025-05-19 20:59:38] INFO - Batch 1: H‐loss=0.0187
[2025-05-19 20:59:39] INFO - Batch 2: H‐loss=0.0143
[2025-05-19 20:59:40] INFO - Batch 3: H‐loss=0.0246
[2025-05-19 20:59:40] INFO - Batch 4: H‐loss=0.0169
[2025-05-19 20:59:41] INFO - Batch 5: H‐loss=0.0215
[2025-05-19 20:59:42] INFO - Batch 6: H‐loss=0.0171
[2025-05-19 20:59:43] INFO - Batch 7: H‐loss=0.0271
[2025-05-19 20:59:43] INFO - Batch 8: H‐loss=0.0166
[2025-05-19 20:59:44] INFO - Batch 9: H‐loss=0.0147
